a,b,c
angry,block,captured
ants,before,
,being,column
account,began,contrast
,breathing,contain
any,,clay
am,bell,climate
army,bowl,closely
,before,could
atomic,bee,company
apple,beginning,club
although,bush,cabin
action,burst,card
,better,continued
apart,baby,cave
already,bicycle,constantly
ants,,contrast
alphabet,become,certainly
asleep,,complete
anybody,buffalo,curious
again,being,choose
allow,breeze,certainly
attention,black,could
,black,
,,castle
accident,business,
afraid,building,
anywhere,bicycle,cold
actual,be,chemical
add,begun,customs
,blew,cutting
ancient,birthday,complex
against,broke,crowd
alive,become,crowd
article,brain,climate
all,,cool
ask,,chosen
along,buffalo,claws
act,behind,century
,birds,closer
angle,bean,
announced,becoming,
,bowl,chair
ate,build,carefully
about,blank,choice
anywhere,,club
accept,because,contrast
arrange,beyond,carried
adventure,,carried
average,been,courage
alike,both,carefully
accept,brown,
,basic,
,busy,cap
afternoon,beauty,corner
,,cloth
agree,,canal
ancient,brick,cast
,bring,crew
,bit,church
article,begun,
area,becoming,cause
against,bread,climate
,buffalo,card
alike,balance,copy
area,blanket,cover
around,,came
already,be,class
again,belong,clothing
alive,boy,chose
average,brief,complex
aside,blank,come
ahead,,cause
already,baby,complete
,band,cold
active,ball,chest
,bag,calm
appearance,border,cage
article,,caught
animal,band,creature
am,bottom,came
,both,can
answer,before,condition
another,bright,crew
accept,body,citizen
atomic,bill,cry
,body,climb
according,balance,constantly
,breeze,college
airplane,,capital
airplane,beyond,chosen
article,,cup
advice,bottle,copper
anything,below,cream
action,bottom,complete
,brother,children
adjective,,combine
allow,broad,coast
about,breakfast,could
about,bowl,chemical
