A,B,C,D,E
additional,book,,doctor,early
also,baseball,compare,drew,electric
atmosphere,brother,cage,dull,exercise
as,,cowboy,drive,exchange
air,breathe,closer,dig,evidence
announced,,coach,direction,equator
automobile,,chicken,dirt,eat
art,,complex,,
although,bat,comfortable,direction,eye
ants,baby,clean,daily,escape
,been,,drink,end
,busy,company,division,eventually
another,blanket,crack,diameter,experience
author,,consider,direction,everything
airplane,but,consist,dream,eaten
,bicycle,cover,,exact
across,breakfast,coming,,environment
,breeze,cent,distance,example
atmosphere,,combination,during,example
applied,busy,clock,,
army,,connected,design,especially
aside,,correct,dozen,else
,biggest,child,discuss,either
announced,blank,common,dull,
automobile,blanket,cause,during,examine
atmosphere,,,,event
actual,biggest,cave,doing,
area,bone,corn,dear,
,by,current,down,eight
almost,buy,cup,dropped,
automobile,birth,clean,due,effect
aware,bring,court,,
atmosphere,,curious,,electric
,bow,characteristic,drink,eye
adjective,breathing,cold,dug,
,born,curious,definition,examine
applied,bridge,,duck,experience
activity,buried,compound,,end
another,bottom,clock,distant,
another,,courage,dish,
,,crowd,driving,
,bill,,diagram,either
anything,,cap,,enter
avoid,brave,company,dog,escape
arm,buy,correctly,drew,education
agree,bear,cow,down,egg
amount,bit,coat,double,especially
attempt,board,conversation,duck,everything
,beautiful,charge,drink,especially
age,barn,create,dress,examine
away,bottle,color,dropped,equally
applied,branch,cut,dried,exactly
author,black,choice,dozen,
arrangement,,cowboy,,
,brown,could,door,environment
ants,,,dear,easier
,broke,corn,doubt,
,break,consider,dropped,
,body,climate,,exactly
arrangement,born,cool,,engine
,bigger,courage,diameter,experience
agree,busy,crowd,drop,exact
avoid,by,,,exclaimed
arrive,bush,cup,,
appearance,built,class,drew,expect
also,became,,develop,
about,bicycle,,division,excitement
attack,bowl,compass,duck,edge
arrangement,breathing,company,,entirely
another,bee,cool,driven,engineer
arm,breath,current,duty,exclaimed
,brass,,,everything
arrow,bow,conversation,dot,
afraid,buffalo,,directly,effect
all,buffalo,curious,depth,environment
author,brass,comfortable,doubt,equipment
allow,built,castle,,easier
anyway,busy,cool,donkey,eat
atmosphere,brief,come,double,
amount,bigger,,due,equal
attached,blank,climb,,easy
arrow,bring,cost,,everything
attempt,beginning,college,dollar,
,blood,count,dawn,
ask,becoming,cookies,dress,
actually,birthday,color,dangerous,escape
activity,,correctly,degree,examine
aware,,congress,,experience
,blank,contrast,dot,exciting
along,band,court,,entire
anyway,,characteristic,,
available,breakfast,command,,exclaimed
ate,band,,direction,engine
at,but,church,,
answer,broken,copy,dried,eventually
attempt,,corner,day,every
aboard,breeze,course,,else
art,bowl,chicken,dog,ear
anything,balance,court,development,
,bowl,congress,difficult,exactly
